Date,User,Report Name,Schedule,Resend Time,Resent Count,Status
08-08-2025,Spartan-Parent,Numbers By Day Database Growth By Created Date_Trail,,08-08-2025 17:49,2,SUCCESS
08-08-2025,Spartan-Parent,Numbers By Day Database Growth By Created Date_Trail,,08-08-2025 17:31,1,SUCCESS
08-08-2025,SALLIEMAE-INSIGHTS,SLM Triggers_v3,,08-08-2025 16:38,2,SUCCESS
08-08-2025,SALLIEMAE-INSIGHTS,SLM_Survey_Report,,08-08-2025 16:32,1,SUCCESS
08-08-2025,SALLIEMAE-INSIGHTS,SLM Triggers_v3,,08-08-2025 16:10,2,SUCCESS
08-08-2025,SALLIEMAECS,Daily School Channel Report,,08-08-2025 16:04,1,SUCCESS
08-08-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_trail 5/23/24 8:42:12 AM,,08-08-2025 15:59,1,SUCCESS
08-08-2025,Spartan-Parent,Numbers By Day Campaign Metrics By Event Date_Deka 5/23/24 11:54:55 AM,,08-08-2025 15:54,1,SUCCESS
08-08-2025,SALLIEMAE-INSIGHTS,SLM_Loan_Trigger_Report_v10,,08-08-2025 15:33,1,SUCCESS
08-08-2025,SALLIEMAE-INSIGHTS,SLM_Adhoc_Loans_Report_v5,,08-08-2025 15:27,1,SUCCESS
08-08-2025,SALLIEMAE-INSIGHTS,SLM Triggers_v3,,08-08-2025 15:22,1,SUCCESS
08-08-2025,EBG-INSIGHTS,WA_7 Day Domain Delivery Report,,08-08-2025 09:54,1,SUCCESS
08-08-2025,EBG-INSIGHTS,WAG3_7 Day Domain Delivery Report 8/7/24 12:49:36 PM,,08-08-2025 09:42,1,SUCCESS
07-08-2025,EBG-INSIGHTS,Sharepoint Report Template includes segment name,,07-08-2025 13:00,1,SUCCESS
06-08-2025,EBG-INSIGHTS,Sharepoint Report Template 4/26/22 3:04:33 PM,,06-08-2025 18:08,1,SUCCESS
06-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,,06-08-2025 16:56,2,SUCCESS
06-08-2025,EBG-INSIGHTS,Shopping Report TAW 9/2/24 7:37:38 AM,,06-08-2025 14:10,1,SUCCESS
